Property name,s3 name,Submarket,Market,Total Number of units,Studio number of units,1 bed number of units,2 bed number of units,3 bed number of units,4 bed number of units,5 bed number of units
"Link PHX, The",The Link PHX,Sky Harbor,Phoenix,257,100,81,76,0,0,0
Liv Ahwatukee,Liv Ahwatukee,Mountain Park,Phoenix,402,0,186,168,48,0,0
Liv Avenida,Liv Avenida,Chandler,Phoenix,322,0,126,164,32,0,0
Liv Northgate,Liv Northgate,Superstition Springs,Phoenix,402,0,130,220,52,0,0
Lumiere Chandler Condominiums,Lumiere Chandler Condominiums,Chandler,Phoenix,248,0,65,183,0,0,0
Marquis at Desert Ridge,Marquis at Desert Ridge,Union Hills,Phoenix,370,0,192,178,0,0,0
Maxwell on 66th,Maxwell on 66th,Union Hills,Phoenix,349,0,189,144,16,0,0
"Met, The",The Met,Sky Harbor,Phoenix,140,12,56,72,0,0,0
"Montana, The",The Montana,South Phoenix,Phoenix,134,0,40,81,13,0,0
Monte Viejo,Monte Viejo,Union Hills,Phoenix,480,102,162,180,18,18,0
Monterra,Monterra,Central East Phoenix,Phoenix,258,30,117,88,23,0,0
Morada West,Morada West,Maryvale,Phoenix,428,0,57,322,49,0,0
Mountainside,Mountainside,Mountain Park,Phoenix,288,0,120,144,24,0,0
Nexa,Nexa,North Tempe,Phoenix,399,15,224,138,22,0,0
Noria,Noria Robson Luxury Apartments,Gilbert,Phoenix,237,0,50,146,41,0,0
Norte Town Lake,Norte Town Lake Apartments,North Tempe,Phoenix,244,41,113,90,0,0,0
Nova North Valley,Nova North Valley,Deer Valley,Phoenix,385,38,165,142,40,0,0
Oceana,Oceana,Western Suburbs,Phoenix,240,0,80,128,32,0,0
Ocotillo Bay,Ocotillo Bay,Chandler,Phoenix,296,0,144,136,16,0,0
Onnix,Onnix,North Tempe,Phoenix,659,63,320,276,0,0,0
Ora,ORA Apartments,Deer Valley,Phoenix,336,0,160,168,8,0,0
Palm Valley Villas,Palm Valley Villas,Western Suburbs,Phoenix,125,0,30,51,44,0,0
"Palms at Augusta Ranch, The",The Palms at Augusta Ranch,Superstition Springs,Phoenix,238,0,68,136,34,0,0
Park on Bell,Park on Bell,Union Hills,Phoenix,228,0,132,96,0,0,0
"Pavilions at Arrowhead, The",Pavilions at Arrowhead,Deer Valley,Phoenix,248,0,82,166,0,0,0
Pinnacle Terrace,Pinnacle Terrace,Chandler,Phoenix,300,0,133,140,27,0,0
"Pointe at South Mountain, The",Pointe at South Mountain,South Phoenix,Phoenix,364,0,206,158,0,0,0
Redstone at San Tan Village,Redstone at SanTan Village,Gilbert,Phoenix,382,0,183,182,17,0,0
Reserve at Arrowhead,Reserve at Arrowhead,Deer Valley,Phoenix,472,0,160,240,72,0,0
Residences at 4225,Residences at 4225,Central East Phoenix,Phoenix,357,10,197,132,18,0,0
"Residences at Stadium Village, The",Residences at Stadium Village,Western Suburbs,Phoenix,382,0,180,182,20,0,0
Riata,Riata Chandler,Chandler,Phoenix,300,0,223,77,0,0,0
Rio Santa Fe,Rio Santa Fe,Western Suburbs,Phoenix,336,0,216,108,12,0,0
Sage Stone,Sage Stone,Deer Valley,Phoenix,308,0,188,108,12,0,0
SALT,Salt,North Tempe,Phoenix,265,46,91,123,5,0,0
San Cierra,San Cierra,South Mesa,Phoenix,332,0,120,172,40,0,0
San Marino,San Marino,South Tempe,Phoenix,300,0,178,104,18,0,0
San Melia,San Melia,Mountain Park,Phoenix,488,0,176,240,72,0,0
San Paulo,San Paulo,Mountain Park,Phoenix,208,0,80,112,16,0,0
San Portella,San Portella,North Tempe,Phoenix,308,0,104,164,40,0,0
San Riva at the Foothills,San Riva at The Foothills,Mountain Park,Phoenix,265,0,179,75,11,0,0
San Tan by Baron,SanTan by Baron,Gilbert,Phoenix,315,8,155,136,16,0,0
San Tierra,San Tierra,Chandler,Phoenix,284,0,92,176,16,0,0
Santa Rosa,Santa Rosa,Mountain Park,Phoenix,112,0,32,72,8,0,0
Scottsdale Highlands,Scottsdale Highlands,North Scottsdale,Phoenix,272,0,82,156,34,0,0
Serafina at South Mountain,Serafina,Mountain Park,Phoenix,183,0,95,88,0,0,0
Seven,Seven,Union Hills,Phoenix,216,0,46,158,12,0,0
Shade at Desert Ridge,Shade at Desert Ridge,Union Hills,Phoenix,342,0,140,178,24,0,0
Sierra Canyon Apartment Homes,Sierra Canyon Apartment Homes,Deer Valley,Phoenix,236,0,108,112,16,0,0
Sierra Foothills,Sierra Foothills,Mountain Park,Phoenix,322,0,160,162,0,0,0
Sky at Chandler Airpark,Sky at Chandler Airpark,Gilbert,Phoenix,504,0,228,222,54,0,0
Skywater at Town Lake,Skywater at Town Lake,North Tempe,Phoenix,328,32,134,146,16,0,0
Sonoma Ridge,Sonoma Ridge,Deer Valley,Phoenix,240,0,120,112,8,0,0
Sonterra,Sonterra,Union Hills,Phoenix,274,0,132,120,22,0,0
Sterling Point,Sterling Point,South Phoenix,Phoenix,300,0,40,156,96,8,0
Stonebridge Ranch,Stonebridge Ranch,Chandler,Phoenix,392,0,224,156,12,0,0
Strayhorse,Strayhorse,Deer Valley,Phoenix,136,0,44,80,12,0,0
Summit at San Marcos,Summit at San Marcos,Chandler,Phoenix,273,0,185,71,17,0,0
Symphony,Symphony,Chandler,Phoenix,234,0,48,153,33,0,0
Tamarron,Tamarron,Western Suburbs,Phoenix,328,0,120,184,24,0,0
Tempe Station,Tempe Station,North Tempe,Phoenix,400,0,192,132,76,0,0
Terra Villa,Terra Villas,Northwest Phoenix,Phoenix,140,46,72,22,0,0,0
"Cameron, The",The Cameron,North Tempe,Phoenix,349,62,165,102,20,0,0
"Core Chandler, The",The Core Chandler,Gilbert,Phoenix,220,0,102,110,8,0,0
"Place at Sonoran Trails, The",The Place At Sonoran Trails,Deer Valley,Phoenix,202,0,94,94,14,0,0
"Premiere at Dana Park, The",The Premiere at Dana Park,Superstition Springs,Phoenix,198,24,70,98,6,0,0
Tides at Paradise Valley,Tides at Paradise Valley,Sunnyslope,Phoenix,380,44,168,168,0,0,0
Town Center,Town Center Apartments,Gilbert,Phoenix,176,0,40,112,24,0,0
Town Commons,Town Commons,Gilbert,Phoenix,306,0,158,126,20,2,0
Towne Square,Towne Square,Chandler,Phoenix,584,0,172,328,84,0,0
"Trails at San Tan, The",The Trails at SanTan,Gilbert,Phoenix,314,0,118,148,48,0,0
Tresa at Arrowhead,Tresa at Arrowhead,Deer Valley,Phoenix,360,0,148,148,64,0,0
Trevi,Trevi,Chandler,Phoenix,290,0,128,146,16,0,0
Trovita Rio,Trovita Rio,North Tempe,Phoenix,209,25,112,72,0,0,0
Union Tempe,Union Tempe,North Tempe,Phoenix,407,92,129,38,66,65,17
VELA,Vela,North Tempe,Phoenix,290,0,211,79,0,0,0
Velaire at Aspera,Velaire at Aspera,Deer Valley,Phoenix,286,0,126,128,32,0,0
"Ventura, The",The Ventura,Chandler,Phoenix,272,0,104,144,24,0,0
Village at Harvard Crossing,Village at Harvard Crossing,Western Suburbs,Phoenix,184,0,74,91,19,0,0
"Village at West Point, The",The Village at West Point,Western Suburbs,Phoenix,168,0,64,80,24,0,0
Vista Grove,Vista Grove,Superstition Springs,Phoenix,224,0,72,112,40,0,0
Vistara at Santan Village,Vistara at SanTan Village,Gilbert,Phoenix,366,0,177,179,10,0,0
Vive,Vive,Chandler,Phoenix,194,0,82,100,12,0,0
West 6th,W6,North Tempe,Phoenix,375,28,137,171,37,2,0
Watermark at Gateway Place,Watermark at Gateway Place,Gilbert,Phoenix,250,0,100,100,50,0,0
